
서칭뷰 키워드그룹 : 최근낙찰가
조회일자:20260331

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,가구,모션데스크,370000
가구/인테리어,가구,사이드테이블,260000
가구/인테리어,가구,선반,760000
가구/인테리어,가구,소파,1420000
가구/인테리어,가구,식탁,1310000
가구/인테리어,가구,책상및책장,1620000
가구/인테리어,가구,침대및매트리스,3950000
가구/인테리어,인테리어,마루,220000
가구/인테리어,인테리어,베개,900000
가구/인테리어,인테리어,블라인드,2640000
가구/인테리어,인테리어,슬라이딩도어,240000
가구/인테리어,인테리어,어닝/파고라,200000
가구/인테리어,인테리어,인조잔디,200000
가구/인테리어,인테리어,인테리어,840000
가구/인테리어,인테리어,조명,520000
가구/인테리어,인테리어,커튼,850000
가구/인테리어,인테리어,토퍼,500000
가구/인테리어,인테리어,폴딩도어,200000
건설/부동산,건설사,건설사일반,390000
건설/부동산,주택,아파트,1450000
게임,게임,FPS,200000
게임,게임,RPG,620000
게임,게임,VR,200000
게임,게임,모바일게임,540000
게임,게임,온라인게임,720000
게임,게임기,게임기,200000
관공서/단체,단체,자선단체,710000
교육/출판,강의,고등인강,200000
교육/출판,교육기관,사이버대학교,290000
교육/출판,교육기관,학점은행제,1830000
교육/출판,도서/교재,학습지,200000
교육/출판,시험,공무원시험,1340000
교육/출판,시험,공인중개사,450000
교육/출판,시험,보육교사,370000
교육/출판,시험,사회복지사,1610000
교육/출판,시험,수능,560000
교육/출판,시험,주택관리사,260000
교육/출판,시험,청소년지도사,270000
교육/출판,시험,한국사,550000
교육/출판,시험,한국어교원자격증,200000
교육/출판,외국어,어린이영어,200000
교육/출판,외국어,영어회화,360000
교육/출판,외국어,중국어,530000
교육/출판,외국어,화상영어,260000
금융,금융기관,증권사,7970000
금융,금융상품,간병치매보험,685000
금융,금융상품,다이렉트인보험,1150000
금융,금융상품,다이렉트자동차보험,1200000
금융,금융상품,담보대출,2120000
금융,금융상품,보험일반,1650000
금융,금융상품,신용대출,500000
금융,금융상품,실비보험,650000
금융,금융상품,아이보험,700000
금융,금융상품,암보험,7200000
금융,금융상품,여행자보험,1190000
금융,금융상품,연금보험/저축,2260000
금융,금융상품,오토바이운전자보험,200000
금융,금융상품,운전자보험,3400000
금융,금융상품,유병자보험,200000
금융,금융상품,자동차보험,5000000
금융,금융상품,종신/정기보험,200000
금융,금융상품,주택보험,680000
금융,금융상품,치아보험,1850000
금융,금융상품,펫보험,550000
금융,금융서비스,가상화폐,38180000
금융,금융서비스,간편결제,200000
금융,금융서비스,자동차금융,860000
금융,금융서비스,재테크,210000
금융,금융서비스,핀테크,200000
금융,카드,신용카드,590000
기타,기타,다이어트,330000
기타,기타,창업/프랜차이즈,280000
기타,기타,카페창업,200000
기타,선물,가족선물,670000
기타,선물,어린이선물,200000
기타,선물,크리스마스선물,200000
생활/가정,공구,멀티탭,1000000
생활/가정,공구,방수,240000
생활/가정,공구,송풍기,200000
생활/가정,문구/사무용품,명함,1360000
생활/가정,문구/사무용품,사무기기,230000
생활/가정,문구/사무용품,스티커,690000
생활/가정,문구/사무용품,전자칠판,200000
생활/가정,문구/사무용품,테이블오더,250000
생활/가정,문구/사무용품,포스기,200000
생활/가정,문구/사무용품,현수막,1070000
생활/가정,미용/위생용품,구강청결제,200000
생활/가정,미용/위생용품,마스크,500000
생활/가정,미용/위생용품,물티슈,570000
생활/가정,미용/위생용품,생리대,230000
생활/가정,미용/위생용품,세제/섬유유연제,620000
생활/가정,미용/위생용품,치약,660000
생활/가정,미용/위생용품,칫솔,490000
생활/가정,미용/위생용품,칫솔살균기,230000
생활/가정,반려동물,반려견분양,200000
생활/가정,반려동물,반려묘분양,200000
생활/가정,반려동물,사료,240000
생활/가정,보안용품,CCTV,700000
생활/가정,생활용품,제습제,200000
생활/가정,악기,피아노,320000
생활/가정,주방용품,냄비,320000
생활/가정,주방용품,도마,240000
생활/가정,주방용품,밀폐용기,370000
생활/가정,주방용품,식기건조대,240000
생활/가정,주방용품,식기세척기세제,200000
생활/가정,주방용품,앞치마,450000
생활/가정,주방용품,주방칼/가위,200000
생활/가정,주방용품,키친타올,200000
생활/가정,주방용품,프라이팬,350000
생활/가정,차량용품,엔진오일,380000
생활/가정,차량용품,자동차썬팅,200000
생활/가정,차량용품,전기차충전기,210000
생활/가정,차량용품,차량용방향제,550000
생활/가정,차량용품,타이어,520000
생활/가정,출산/육아,기저귀,290000
생활/가정,출산/육아,바디제품,200000
생활/가정,출산/육아,분유/이유식,200000
서비스,결혼,결혼식,900000
서비스,결혼,결혼정보업체,220000
서비스,구독서비스,전자책,300000
서비스,구인구직,아르바이트,1130000
서비스,구인구직,채용,1190000
서비스,구인구직,프리랜서,200000
서비스,기업서비스,복리후생,200000
서비스,렌트카,렌트카,3270000
서비스,법률서비스,법률상담1,3860000
서비스,법률서비스,법률상담2,2930000
서비스,숙박,게스트하우스,560000
서비스,숙박,숙박예약,960000
서비스,여가,나들이,620000
서비스,여가,스키장,200000
서비스,여행,ESIM,2020000
서비스,여행,남태평양,350000
서비스,여행,여행사,780000
서비스,여행,유심,740000
서비스,여행,제주도여행,660000
서비스,여행,펜션,200000
서비스,여행,항공권,11210000
서비스,여행,해외여행(동남아지역),1150000
서비스,여행,해외여행(동유럽),370000
서비스,여행,해외여행(미국),210000
서비스,여행,해외여행(북유럽),200000
서비스,여행,해외여행(서유럽),970000
서비스,여행,해외여행(유럽),200000
서비스,여행,해외여행(일본),2630000
서비스,여행,해외여행(중국지역),1820000
서비스,여행,해외여행(캐나다),200000
서비스,여행,해외여행(호주),290000
서비스,운송,용달이사,200000
서비스,운송,원룸이사,200000
서비스,운송,포장이사,500000
서비스,전문서비스,갤러리,200000
서비스,전문서비스,공유오피스,482000
서비스,전문서비스,부동산,3810000
서비스,전문서비스,상표등록,320000
서비스,전문서비스,세금환급조회,200000
서비스,전문서비스,세무사,330000
서비스,전문서비스,양도세계산,670000
서비스,전문서비스,에어컨청소,290000
서비스,전문서비스,원산지관리서비스,200000
서비스,전문서비스,종합소득세신고,1000000
서비스,전문서비스,퀵서비스,290000
서비스,전문서비스,홈페이지제작,330000
서비스,전문서비스,회계사,200000
스포츠/레저,스포츠,골프,1430000
스포츠/레저,스포츠,골프거리측정기,200000
스포츠/레저,스포츠,골프스윙연습기,200000
스포츠/레저,스포츠,농구,550000
스포츠/레저,스포츠,축구,630000
스포츠/레저,아웃도어,등산스틱,200000
스포츠/레저,아웃도어,등산화,280000
스포츠/레저,아웃도어,아웃도어/등산복,200000
스포츠/레저,운동기구/용품,런닝머신,300000
스포츠/레저,운동기구/용품,무릎보호대,280000
스포츠/레저,운동기구/용품,손목보호대,200000
스포츠/레저,자전거,자전거,1500000
스포츠/레저,캠핑,에어매트,200000
스포츠/레저,캠핑,에어텐트,200000
스포츠/레저,캠핑,텐트,370000
스포츠/레저,퍼스널모빌리티,전동킥보드,220000
식음료,건강식품,난각막,200000
식음료,건강식품,먹는콜라겐,370000
식음료,건강식품,숙취해소제,200000
식음료,건강식품,아르기닌,550000
식음료,과자류,과자,500000
식음료,과자류,아이스크림,1010000
식음료,과자류,초콜릿,530000
식음료,식품,그래놀라,200000
식음료,식품,돈까스,460000
식음료,식품,라면,640000
식음료,식품,샌드위치,200000
식음료,식품,소시지,200000
식음료,식품,시리얼,220000
식음료,식품,카레,250000
식음료,식품,쿠킹박스,310000
식음료,외식프랜차이즈,초밥,450000
식음료,외식프랜차이즈,치킨,560000
식음료,외식프랜차이즈,피자,280000
식음료,외식프랜차이즈,햄버거,280000
식음료,음료,생수,660000
식음료,음료,요거트,610000
식음료,음료,우유,200000
식음료,음료,커피,1050000
영상/공연,방송,드라마,3530000
영상/공연,영화,영화,9070000
유통,쇼핑몰,면세점,1000000
유통,쇼핑몰,쇼핑몰창업,200000
유통,쇼핑몰,신선식품쇼핑몰,200000
유통,쇼핑몰,전자제품쇼핑몰,200000
유통,쇼핑몰,패션쇼핑몰,200000
자동차,자동차,SUV,930000
자동차,자동차,세단,200000
자동차,자동차,전기차,1670000
자동차,자동차,중고차,6200000
자동차,자동차,픽업트럭,200000
자동차,자동차,하이브리드,360000
전자/가전,AI/무전기기,로봇,200000
전자/가전,PC/주변기기,27인치모니터,270000
전자/가전,PC/주변기기,32인치모니터,200000
전자/가전,PC/주변기기,게이밍모니터,200000
전자/가전,PC/주변기기,노트북,2860000
전자/가전,PC/주변기기,마우스,1480000
전자/가전,PC/주변기기,모니터암,670000
전자/가전,PC/주변기기,키보드,2020000
전자/가전,PC/주변기기,태블릿PC,520000
전자/가전,PC/주변기기,프린터/복합기,890000
전자/가전,PC/주변기기,휴대용모니터,200000
전자/가전,건강가전,마사지기,530000
전자/가전,건강가전,안마의자,380000
전자/가전,계절가전,가습기,800000
전자/가전,계절가전,보일러,380000
전자/가전,계절가전,선풍기/써큘레이터,490000
전자/가전,계절가전,에어컨,1200000
전자/가전,계절가전,전기요,200000
전자/가전,계절가전,전기장판,420000
전자/가전,계절가전,제습기,330000
전자/가전,미용/위생가전,구강세정기,200000
전자/가전,미용/위생가전,드라이기,780000
전자/가전,미용/위생가전,면도기,450000
전자/가전,미용/위생가전,뷰티디바이스,390000
전자/가전,미용/위생가전,비데,610000
