
신제품검색 키워드그룹 : 최근낙찰가
조회일자:20260519

! 각 키워드 그룹의 조회 시점 기준으로 가장 최근에 결과가 발표된 정기입찰 건의 낙찰가 입니다.

대분류,소분류,키워드그룹,최근낙찰가
가구/인테리어,거실가구,1인용리클라이너,330000
가구/인테리어,거실가구,1인용쇼파,750000
가구/인테리어,거실가구,3인용쇼파,470000
가구/인테리어,거실가구,4인용쇼파,310000
가구/인테리어,거실가구,TV다이,270000
가구/인테리어,거실가구,가죽쇼파,420000
가구/인테리어,거실가구,거실장,310000
가구/인테리어,거실가구,거실테이블,390000
가구/인테리어,거실가구,리클라이너,310000
가구/인테리어,거실가구,리클라이너쇼파,500000
가구/인테리어,거실가구,모듈쇼파,130000
가구/인테리어,거실가구,모션쇼파,100000
가구/인테리어,거실가구,사이드테이블,290000
가구/인테리어,거실가구,쇼파,1720000
가구/인테리어,거실가구,스툴,230000
가구/인테리어,거실가구,원목의자,110000
가구/인테리어,거실가구,원목테이블,120000
가구/인테리어,거실가구,테이블,270000
가구/인테리어,거실가구,패브릭쇼파,210000
가구/인테리어,서재가구,3단서랍장,160000
가구/인테리어,서재가구,게이밍의자,350000
가구/인테리어,서재가구,모션데스크,550000
가구/인테리어,서재가구,발받침대,180000
가구/인테리어,서재가구,사무용의자,210000
가구/인테리어,서재가구,스탠딩책상,110000
가구/인테리어,서재가구,아크릴가림막,100000
가구/인테리어,서재가구,원목책상,100000
가구/인테리어,서재가구,의자,680000
가구/인테리어,서재가구,자세교정의자,100000
가구/인테리어,서재가구,좌식의자,190000
가구/인테리어,서재가구,책상,670000
가구/인테리어,서재가구,책상서랍장,100000
가구/인테리어,서재가구,책상세트,100000
가구/인테리어,서재가구,책상의자,210000
가구/인테리어,서재가구,책장,520000
가구/인테리어,서재가구,컴퓨터의자,340000
가구/인테리어,서재가구,컴퓨터책상,480000
가구/인테리어,서재가구,학생의자,100000
가구/인테리어,서재가구,학생책상,100000
가구/인테리어,서재가구,회전책장,310000
가구/인테리어,수납가구,로봇청소기수납장,130000
가구/인테리어,수납가구,선반,470000
가구/인테리어,수납가구,세탁기선반,100000
가구/인테리어,수납가구,수납장,560000
가구/인테리어,수납가구,스탠드옷걸이,260000
가구/인테리어,수납가구,시스템행거,590000
가구/인테리어,수납가구,옷걸이봉,120000
가구/인테리어,수납가구,옷걸이행거,160000
가구/인테리어,수납가구,이동식행거,110000
가구/인테리어,수납가구,철제선반,300000
가구/인테리어,수납가구,행거,880000
가구/인테리어,아동가구,아기쇼파,130000
가구/인테리어,아동가구,아기식탁의자,120000
가구/인테리어,아동가구,아기옷장,150000
가구/인테리어,아동가구,아기의자,200000
가구/인테리어,아동가구,아기침대,750000
가구/인테리어,아동가구,어린이책상,110000
가구/인테리어,아동가구,어린이침대,110000
가구/인테리어,아동가구,유아책장,100000
가구/인테리어,아동가구,유아침대,100000
가구/인테리어,아동가구,초등학생책상,120000
가구/인테리어,아동가구,하이체어,240000
가구/인테리어,인테리어소품,LED벽시계,100000
가구/인테리어,인테리어소품,LED시계,100000
가구/인테리어,인테리어소품,가림막커튼,210000
가구/인테리어,인테리어소품,거실러그,140000
가구/인테리어,인테리어소품,거실매트,270000
가구/인테리어,인테리어소품,거실커튼,330000
가구/인테리어,인테리어소품,규조토발매트,220000
가구/인테리어,인테리어소품,등받이쿠션,220000
가구/인테리어,인테리어소품,러그,430000
가구/인테리어,인테리어소품,롤매트,120000
가구/인테리어,인테리어소품,롤스크린,100000
가구/인테리어,인테리어소품,무소음벽시계,100000
가구/인테리어,인테리어소품,발매트,260000
가구/인테리어,인테리어소품,방석,240000
가구/인테리어,인테리어소품,방풍커튼,100000
가구/인테리어,인테리어소품,방한커튼,100000
가구/인테리어,인테리어소품,벽시계,520000
가구/인테리어,인테리어소품,블라인드,2200000
가구/인테리어,인테리어소품,쇼파쿠션,180000
가구/인테리어,인테리어소품,쇼파패드,230000
가구/인테리어,인테리어소품,쉬폰커튼,230000
가구/인테리어,인테리어소품,식물등,160000
가구/인테리어,인테리어소품,쓰레기통,240000
가구/인테리어,인테리어소품,암막블라인드,340000
가구/인테리어,인테리어소품,암막커튼,931000
가구/인테리어,인테리어소품,액자,320000
가구/인테리어,인테리어소품,오로라무드등,100000
가구/인테리어,인테리어소품,우드블라인드,170000
가구/인테리어,인테리어소품,인센스스틱,150000
가구/인테리어,인테리어소품,인테리어그림,230000
가구/인테리어,인테리어소품,주방매트,200000
가구/인테리어,인테리어소품,차르르커튼,100000
가구/인테리어,인테리어소품,층간소음매트,430000
가구/인테리어,인테리어소품,캔들워머,100000
가구/인테리어,인테리어소품,커튼,951000
가구/인테리어,인테리어소품,커튼봉,150000
가구/인테리어,인테리어소품,콤비블라인드,100000
가구/인테리어,인테리어소품,탁상시계,160000
가구/인테리어,인테리어소품,파티션,500000
가구/인테리어,인테리어소품,허니콤블라인드,100000
가구/인테리어,인테리어소품,휴지통,150000
가구/인테리어,인테리어자재,ABS도어,100000
가구/인테리어,인테리어자재,인조잔디,240000
가구/인테리어,인테리어자재,중문,420000
가구/인테리어,조명,LED등,120000
가구/인테리어,조명,LED방등,100000
