
신제품검색 키워드그룹 : 회차별 입찰 정보
조회일자:20260313

! 각 키워드그룹의 집행회차 별 입찰 스케줄 정보입니다.
! 조회 시점에 입찰기간 혹은 발표일에 해당하는 회차에 대해서만 조회가 가능합니다.
! 키워드 그룹별 세부키워드 리스트는 집행 회차별로 변경될 수 있으니 각 회차별 키워드셋을 참고해주시기 바랍니다.

! 기준조회수는 각 회차별 입찰 개시일 직전 30일 간의 모바일 조회수를 기반으로 산출하며 해당 기간의 7일 평균 조회수와 입찰이 열린 구좌수를 반영하여 계산됩니다.
! '기준조회수' = '직전 30일 조회수' x '(7일/30일)' / 'N구좌'
! 기준조회수는 참고 자료이며 실제 집행 기간 동안 키워드의 노출수를 보장하지는 않습니다. 

! 입찰 결과 발표는 발표일 오전 9시이며 일부 지연이 있을 수 있습니다.
! 모든 낙찰건은 결과 발표 당일 내에 캠페인 등록을 완료해야 합니다.

! 공실구좌는 조회 시점 기준의 공실구좌이며 매일 자정 업데이트됩니다.
! 정기 입찰 결과 발표 후 재입찰 기간 중에 공실 구좌가 발생한 경우에 한하여 재입찰 결과 발표를 진행합니다.

집행회차,집행기간,대분류,소분류,키워드그룹,기준조회수,최저입찰가,정기입찰기간,정기입찰발표,재입찰기간,재입찰발표,입찰가능여부,현재공실구좌
202613,20260323~20260329,가구/인테리어,거실가구,1인용리클라이너,3238,390000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,1인용쇼파,8061,970000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,3인용쇼파,4749,570000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,4인용쇼파,3176,390000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,TV다이,2799,340000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,가죽쇼파,2776,560000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,1
202613,20260323~20260329,가구/인테리어,거실가구,거실장,3223,390000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,거실테이블,4255,520000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,리클라이너,3797,460000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,리클라이너쇼파,5156,620000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,모듈쇼파,1237,150000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,모션쇼파,1214,150000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,거실가구,사이드테이블,2961,360000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,1
202613,20260323~20260329,가구/인테리어,서재가구,3단서랍장,1664,200000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,서재가구,게이밍의자,3757,460000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,1
202613,20260323~20260329,가구/인테리어,서재가구,모션데스크,6128,740000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,1
202613,20260323~20260329,가구/인테리어,서재가구,발받침대,1913,230000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,1
202613,20260323~20260329,가구/인테리어,서재가구,사무용의자,2092,260000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,1
202613,20260323~20260329,가구/인테리어,수납가구,로봇청소기수납장,1298,160000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,수납가구,선반,4514,550000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,인테리어소품,LED벽시계,982,120000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,인테리어소품,LED시계,1045,130000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
202613,20260323~20260329,가구/인테리어,인테리어소품,가림막커튼,2125,260000,20260303~20260309,20260310,20260311~20260316,20260317,입찰가능,2
