
서칭뷰 키워드그룹 : 회차별 입찰 정보
조회일자:20260317

! 각 키워드그룹의 집행회차 별 입찰 스케줄 정보입니다.
! 조회 시점에 입찰기간 혹은 발표일에 해당하는 회차에 대해서만 조회가 가능합니다.
! 키워드 그룹별 세부키워드 리스트는 집행 회차별로 변경될 수 있으니 각 회차별 키워드셋을 참고해주시기 바랍니다.

! 기준조회수는 각 회차별 입찰 개시일 직전 30일 간의 PC 조회수를 기반으로 산출하며 해당 기간의 7일 평균 조회수를 반영하여 계산됩니다.
! '기준조회수' = '직전 30일 조회수' x '(7일/30일)'
! 기준조회수는 참고 자료이며 실제 집행 기간 동안 키워드의 노출수를 보장하지는 않습니다. 

! 입찰 결과 발표는 발표일 오전 9시이며 일부 지연이 있을 수 있습니다.
! 모든 낙찰건은 결과 발표 당일 내에 캠페인 등록을 완료해야 합니다.

! 공실구좌는 조회 시점 기준의 공실구좌이며 매일 자정 업데이트됩니다.
! 정기 입찰 결과 발표 후 재입찰 기간 중에 공실 구좌가 발생한 경우에 한하여 재입찰 결과 발표를 진행합니다.

집행회차,집행기간,대분류,소분류,키워드그룹,기준조회수,최저입찰가,정기입찰기간,정기입찰발표,재입찰기간,재입찰발표,입찰가능여부,현재공실구좌
202613,20260323~20260329,가구/인테리어,가구,모션데스크,4515,370000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,가구,사이드테이블,2775,230000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,가구,선반,8407,680000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,가구,소파,15918,1280000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,가구,식탁,15249,1220000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,가구,책상및책장,18616,1490000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,가구,침대및매트리스,48499,3880000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,마루,2348,200000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,베개,9912,800000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,블라인드,33995,2720000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,슬라이딩도어,2576,210000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,어닝/파고라,1449,200000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,인조잔디,1713,200000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,인테리어,9600,770000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,조명,6046,490000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,커튼,9511,770000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,토퍼,6263,510000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,가구/인테리어,인테리어,폴딩도어,1419,200000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,건설/부동산,건설사,건설사일반,4186,340000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
202613,20260323~20260329,건설/부동산,주택,아파트,17304,1390000,20260303~20260309,20260310,20260311~20260316,20260317,입찰기간종료,0
